102	SUP35	0.769	0.829	0.533	-0.04	-0.15	-0.516	-0.303
103	CIA1	0.464	0.79	0.467	-0.12	-0.171	-0.189	0.054
104	MSW1	0.016	-0.133	0.235	0.036	0.379	0.488	-0.253
105	YDR269C	0	-0.229	-0.167	-0.176	-0.515	-0.397	0.086
106	CCC2	0.243	-0.093	0.159	-0.188	-0.41	-0.501	0.458
107	YDR271C	0.313	0.26	0.127	-0.129	-0.358	-0.055	0.646
108	GLO2	0.009	0.084	0.037	0.083	0.576	0.796	-0.396
109	TRP4	0.677	0.842	0.52	0.19	-0.03	-0.209	0.021
110	SPC110	-0.178	0.023	0	-0.232	0.074	0.154	-0.128
111	GGA1	-0.931	-0.721	-0.43	0.06	0.755	1.034	-0.473
112	YDR360W	-0.196	-0.628	-0.423	-0.725	-0.285	-0.026	-0.042
113	TFC6	0.016	0.689	0.151	-0.208	0.089	-0.098	-0.191
114	CDC40	0.222	0.478	0.169	0.01	-0.118	0.22	-0.135
115	RPS18A	1.209	0.94	0.899	0.798	-0.795	-1.75	0.11
116	PPN1	-0.095	-0.079	-0.099	0.076	0.477	0.618	0.069
117	GUK1	0.952	0.929	0.562	0.244	-0.324	-0.433	0.52
118	NHX1	0.493	0.463	0.38	0.22	0.275	0.465	0.443
119	HEH2	0.186	0.419	0.33	-0.029	0.253	-0.462	0.019
120	TFB3	-0.376	0.36	0.277	0.213	0.404	-0.385	-0.231
121	IRC22	0.567	0.618	0.687	0.097	0.164	0.212	0.226
122	GIM4	0.678	0.632	0.78	-0.283	-0.193	-0.17	-0.166
123	VAB2	0.248	-0.158	0.585	-0.466	0.147	0.222	0.074
124	MIT1	0.308	0.09	0.129	0.069	-0.233	0.294	0.188
125	GCN4	0.957	1.099	0.989	0.157	-0.032	-0.15	0.585
126	GLC3	-0.659	-0.16	-0.256	0.515	0.426	1.807	0.403
127	YER0191C	0.828	0.719	0.617	0.003	-0.031	0.167	0.313
128	GPA2	-0.114	-0.117	0.239	-0.209	0.258	0.895	-0.363
129	SRB4	-0.222	0.167	0.176	0	-0.128	-0.286	-0.515
130	YAT2	-0.126	-0.228	-0.305	-0.213	-0.065	0.585	-0.273
131	CHO1	0.803	0.748	0.382	0	0.182	0.184	0.349
132	MIG3	0.365	-0.148	-0.199	-0.299	0.056	0.822	-0.029
133	SWI4	0.271	0.131	0.101	-0.62	-0.702	0.36	0.144
134	TMN3	0.52	0.465	0.231	-0.144	-0.255	0.044	-0.02
135	SPR6	0.431	0.473	0.147	-0.299	-0.375	0.165	0.173
136	RPL23B	1.184	0.966	0.571	-0.004	-0.824	-1.573	0.391
137	AVT6	-0.282	0.487	-0.23	0.222	0.719	1.392	0.299
138	YER121W	-0.585	-0.619	-0.526	0.23	-0.268	0.415	-0.303
139	HSP12	-4.183	-4.246	-3.958	-3.011	-0.808	2.805	0.055
140	MDJ1	-0.25	0.043	0.209	0.393	0.042	0.879	-0.011
141	LPD1	0.109	0.183	-0.046	0.177	0.54	0.365	0.155
142	PAU5	-0.679	-0.599	-0.277	0.291	0.632	0.761	-0.007
143	FRS2	0.64	0.625	0.414	0.301	0.246	-0.507	-0.012
144	EPL1	-0.043	-0.472	-0.466	-0.606	-0.034	0.231	0.387
145	ERJ5	-0.345	0.58	0.863	0.52	0.718	0.541	-0.908
146	IRC6	-0.04	0.305	0.459	0.027	0.35	0	-0.322
147	YFR045W	-0.023	-0.105	-0.017	-0.081	0.249	0.506	-0.179
148	BNA6	0.113	0.265	0.374	-0.093	0.509	1.308	0.188
149	YMR31	0.062	0.219	0.452	0.253	0.438	0.544	-0.325
150	RET2	0.218	0.439	0.862	0.543	0.727	0.555	-0.304
